MONTH,TOT,ASIA,JPN,CHN,TWN,PIP,HKG,THI,MAL,SGP,IDN,IND,VET,MOL,MEAS,USB,AMRA,USA,CAN,EUPO,RUS,GER,ENG,FRA,OCEA,AUS
2017년09월,1078653,841547,219968,318682,74379,33772,45023,30651,20769,15078,16637,9771,28800,9354,20049,7353,91382,70933,13851,80485,23056,10426,10171,7642,16413,12979
2017년10월,1165638,906097,179661,345384,81625,43589,54962,50079,32356,19054,19981,10023,38472,10294,20917,7102,104588,80000,17397,88730,25404,11208,11622,9038,15442,12299
2017년11월,1093217,870943,213460,299247,76534,37101,53286,50860,33043,21866,19073,8826,28695,11452,17997,6598,88227,69009,13179,75920,23073,9116,8850,7157,13147,10190
2017년12월,1134068,926157,193705,332474,75738,37019,58761,60147,45333,36144,22012,7524,24009,9758,15595,5306,84686,66763,13080,63049,21606,6729,7843,5619,18799,14996
2018년01월,956036,759265,167083,305127,75820,30454,34671,44941,22113,9664,17034,7421,16285,10793,15758,5431,77166,59895,12417,66538,21934,7328,9399,5891,14899,11688
2018년02월,1045415,829148,168241,345341,88076,27013,50590,43428,22529,9093,14739,7093,24508,8901,16080,5585,87798,66049,16438,80204,20889,9577,10334,7277,11167,8769
2018년03월,1366100,1110694,294476,403413,94084,41177,62340,55735,37845,22182,20202,9363,37656,10664,22644,7514,105628,80079,18833,85892,25733,11239,12257,7102,13431,10693
2018년04월,1331709,1049030,213853,366604,105177,49053,66533,64720,41735,21130,27913,10641,50727,7607,22183,7143,115465,89209,18569,97322,31313,10924,13363,10174,19066,15500
2018년05월,1238021,977320,227230,370222,88304,42722,57320,51866,25422,19768,19057,11625,33676,7793,19348,6891,110254,84601,18651,86474,26687,9699,10803,9390,16040,12472
2018년06월,1282093,1025081,235293,379891,102863,37554,66136,41020,27627,23117,22833,10346,48295,9123,19469,6750,115716,94742,14521,81207,26796,8424,10586,7716,15226,11841
2018년07월,1254833,992606,230512,410337,97696,29237,58373,33440,15694,11521,18061,9929,46310,9070,21810,6997,112761,90270,15002,88304,28260,9101,10683,9585,14735,11491
2018년08월,1391727,1142577,315025,478140,100517,30459,63397,28516,19218,11843,15796,10610,37085,10418,23229,7596,98954,77319,14686,86208,23001,10010,11132,10722,14920,11577
2018년09월,1278604,1027937,247847,434595,87351,33427,49649,34298,28613,15346,18236,11393,37481,11100,21159,7959,101795,78826,15667,84212,23388,10760,10753,7944,19151,15310
2018년10월,1527832,1227093,290468,475307,99972,52016,61473,59941,40758,21787,24931,12683,55380,10729,22634,8463,127001,98103,20187,102375,28153,12635,13813,10813,18648,14907
2018년11월,1350390,1112960,299978,404256,88165,44406,53790,46981,45710,25981,24176,10247,40571,9464,18081,7142,99759,77876,15205,80055,23380,9458,10067,7668,15170,11711
